"fips","race","sex","TotalSuspensions","TotalEnrollment","Suspension_Rates"
13,7,2,8150,32017,0.254552269107037
16,1,1,15652,133744,0.117029548989114
16,1,2,4776,118717,0.0402301271090071
16,2,1,586,2362,0.24809483488569
16,2,2,234,2121,0.11032531824611
16,3,1,4808,36426,0.131993630922967
16,3,2,1812,32692,0.0554264040132142
16,4,1,188,2535,0.0741617357001972
16,4,2,24,2591,0.00926283288305673
16,5,1,664,2737,0.24260138838144
16,5,2,252,2452,0.102773246329527
16,6,1,156,738,0.211382113821138
16,6,2,40,675,0.0592592592592593
16,7,1,1066,4951,0.215310038376086
16,7,2,314,4269,0.0735535254157882
17,1,1,88364,627556,0.140806557502438
17,1,2,32880,541976,0.060666892998952
17,2,1,100128,223291,0.448419327245612
17,2,2,63654,198621,0.32047970758379
17,3,1,58852,404639,0.145443222230185
17,3,2,29442,352564,0.0835082424751251
17,4,1,3264,64845,0.0503354152209114
17,4,2,1058,58275,0.0181552981552982
17,5,1,1108,4720,0.234745762711864
17,5,2,504,4211,0.119686535264783
17,6,1,292,1870,0.156149732620321
17,6,2,118,1754,0.0672748004561003
17,7,1,12796,40846,0.313274249620526
17,7,2,5962,35667,0.167157316286764
18,1,1,89202,452278,0.197228253419357
18,1,2,33816,393981,0.0858315502524233
18,2,1,46962,79911,0.587678792656831
18,2,2,26362,70469,0.374093573060495
18,3,1,18784,93335,0.201253549043767
18,3,2,8480,83392,0.101688411358404
18,4,1,1414,17154,0.0824297539932377
18,4,2,424,16629,0.0254976246316676
18,5,1,530,1656,0.320048309178744
18,5,2,244,1593,0.153170119271814
18,6,1,76,653,0.116385911179173
18,6,2,44,662,0.0664652567975831
18,7,1,11730,29937,0.391822827938671
18,7,2,5740,26246,0.218699992379791
19,1,1,30256,235204,0.128637268073672
19,1,2,10120,206568,0.048991131249758
19,2,1,8156,20070,0.406377678126557
19,2,2,4196,17191,0.244081205281834
19,3,1,5818,40412,0.143967138473721
19,3,2,2516,35873,0.0701363142196081
19,4,1,460,8798,0.0522846101386679
19,4,2,194,8108,0.0239269856931426
19,5,1,290,1455,0.199312714776632
19,5,2,236,1263,0.186856690419636
19,6,1,178,1046,0.170172084130019
19,6,2,80,900,0.0888888888888889
19,7,1,3414,10515,0.324679029957204
19,7,2,1482,9540,0.155345911949686
20,1,1,35368,197177,0.179371833428848
20,1,2,11734,172696,0.0679459860100987
20,2,1,14538,22693,0.640638082228
20,2,2,7312,19647,0.37216877894844
20,3,1,15404,78504,0.196219300927341
20,3,2,6258,70259,0.089070439374315
20,4,1,994,10457,0.0950559433872047
20,4,2,320,9512,0.0336417157275021
20,5,1,1168,3528,0.331065759637188
20,5,2,652,3199,0.203813691778681
20,6,1,168,854,0.19672131147541
20,6,2,56,786,0.0712468193384224
20,7,1,5378,14686,0.366199101184802
20,7,2,2446,13265,0.184395024500565
21,1,1,92316,334009,0.276387762006413
21,1,2,37910,288115,0.131579404057408
21,2,1,31448,46420,0.677466609220164
21,2,2,17972,40198,0.447086919747251
21,3,1,7440,31983,0.232623581277554
21,3,2,3132,27568,0.113609982588508
21,4,1,766,7706,0.0994030625486634
21,4,2,252,7794,0.0323325635103926
21,5,1,264,702,0.376068376068376
21,5,2,152,668,0.227544910179641
21,6,1,168,599,0.280467445742905
21,6,2,72,568,0.126760563380282
21,7,1,6742,13915,0.484513115343155
21,7,2,3098,12594,0.245990154041607
22,1,1,53016,204615,0.259101238912103
22,1,2,19562,178433,0.109632186871263
22,2,1,106172,200455,0.529655034795839
22,2,2,62614,176065,0.355630023002868
22,3,1,7924,33335,0.23770811459427
22,3,2,3452,29646,0.116440666531741
22,4,1,1104,7731,0.142801707411719
22,4,2,508,7044,0.0721181147075525
22,5,1,1478,3510,0.421082621082621
22,5,2,678,2931,0.231320368474923
22,6,1,108,525,0.205714285714286
22,6,2,48,440,0.109090909090909
22,7,1,4046,8707,0.464683587917767
22,7,2,1784,8013,0.222638212904031
23,1,1,15082,105292,0.143239752307868
23,1,2,5426,89396,0.0606962280191507
23,2,1,1548,5194,0.29803619561032
23,2,2,590,4662,0.126555126555127
23,3,1,502,2463,0.203816483962647
23,3,2,204,2246,0.0908281389136242
23,4,1,172,1903,0.0903836048344719
23,4,2,40,1978,0.0202224469160768
23,5,1,272,909,0.299229922992299
23,5,2,98,757,0.129458388375165
23,6,1,8,155,0.0516129032258065
23,6,2,8,157,0.0509554140127389
23,7,1,478,2295,0.208278867102397
23,7,2,266,2064,0.128875968992248
24,1,1,19174,213254,0.0899115608616954
24,1,2,6814,185808,0.0366722638422458
24,2,1,37506,197518,0.18988649135775
24,2,2,20360,170605,0.119339995896955
24,3,1,7386,112374,0.0657269475145496
24,3,2,3098,96670,0.0320471707872142
24,4,1,986,35444,0.0278185306398826
24,4,2,252,31428,0.00801832760595647
24,5,1,404,1840,0.219565217391304
24,5,2,152,1680,0.0904761904761905
24,6,1,152,1077,0.141132776230269
24,6,2,52,929,0.0559741657696448
24,7,1,4210,22762,0.184957385115543
24,7,2,1928,20496,0.0940671350507416
25,1,1,34628,393949,0.0878997027534021
25,1,2,12990,341584,0.0380287132886786
25,2,1,15752,61984,0.25413009808983
25,2,2,7270,52260,0.139112131649445
25,3,1,24386,138603,0.17594135769067
25,3,2,11924,118757,0.100406712867452
25,4,1,2192,41944,0.0522601563990082
25,4,2,688,37813,0.0181948007299077
25,5,1,322,1742,0.184845005740528
25,5,2,220,1685,0.130563798219585
25,6,1,108,809,0.133498145859085
25,6,2,24,827,0.0290205562273277
25,7,1,4536,26162,0.173381239966363
25,7,2,1848,20288,0.0910883280757098
26,1,1,116696,652210,0.178923966207203
26,1,2,41058,569491,0.0720959593742482
26,2,1,89466,172521,0.518580346740397
26,2,2,51400,151532,0.339202280706385
26,3,1,17182,86279,0.199144635426929
26,3,2,7774,77110,0.10081701465439
26,4,1,2306,34717,0.0664227899876141
26,4,2,716,32724,0.0218799657743552
26,5,1,2754,7344,0.375
26,5,2,1216,6438,0.18887853370612
26,6,1,182,1266,0.143759873617694
26,6,2,104,1257,0.0827366746221161
26,7,1,10676,30730,0.347412951513179
26,7,2,4804,27926,0.172026068896369
27,1,1,42532,375119,0.113382686560798
27,1,2,14258,326866,0.0436203214773026
27,2,1,26522,68492,0.387227705425451
27,2,2,13824,59318,0.233048990188476
27,3,1,9986,62545,0.159661044048285
27,3,2,4242,54532,0.0777891879997066
27,4,1,2634,44283,0.0594810649684981
27,4,2,812,39950,0.0203254067584481
27,5,1,3994,10598,0.376863559162106
27,5,2,2218,9031,0.245598494075961
27,6,1,52,791,0.0657395701643489
27,6,2,16,728,0.021978021978022
27,7,1,5628,21023,0.267706797317224
27,7,2,2582,18153,0.142235443177436
28,1,1,41080,130955,0.313695544270933
28,1,2,15938,115989,0.137409581943115
28,2,1,95304,143746,0.663002796599558
28,2,2,53248,128913,0.413053764942248
28,3,1,3340,15237,0.21920325523397
28,3,2,1360,13591,0.100066220292841
28,4,1,540,3645,0.148148148148148
28,4,2,210,3335,0.0629685157421289
28,5,1,420,808,0.51980198019802
28,5,2,346,761,0.454664914586071
28,6,1,44,240,0.183333333333333
28,6,2,36,211,0.170616113744076
28,7,1,1024,2266,0.451897616946161
28,7,2,532,2154,0.246982358402971
29,1,1,113118,418430,0.270339124823746
29,1,2,39930,360845,0.110656930260915
29,2,1,68040,93847,0.725009856468507
29,2,2,39494,82016,0.481540187280531
29,3,1,11962,42366,0.282349053486286
29,3,2,4694,37702,0.124502678902976
29,4,1,1430,12855,0.11124076234928
29,4,2,456,12258,0.0372001957905042
29,5,1,1352,2557,0.528744622604615
29,5,2,444,2343,0.189500640204866
29,6,1,492,1876,0.26226012793177
29,6,2,256,1838,0.139281828073993
29,7,1,8176,18139,0.450741496223607
29,7,2,3658,16136,0.2266980664353
30,1,1,11486,69623,0.164974218289933
30,1,2,3700,61748,0.0599209691002138
30,2,1,452,926,0.488120950323974
30,2,2,110,759,0.144927536231884
30,3,1,938,3728,0.251609442060086
30,3,2,312,3245,0.0961479198767334
30,4,1,64,702,0.0911680911680912
30,4,2,16,782,0.020460358056266
30,5,1,5308,11520,0.460763888888889
30,5,2,3084,10110,0.305044510385757
30,6,1,32,269,0.118959107806691
30,6,2,14,255,0.0549019607843137
30,7,1,560,2365,0.236786469344609
30,7,2,246,2188,0.112431444241316
31,1,1,20842,133278,0.156379897657528
31,1,2,6742,115313,0.058466955156834
31,2,1,7046,15071,0.467520403423794
31,2,2,3700,12540,0.295055821371611
31,3,1,8178,42636,0.191809738249367
31,3,2,3246,36991,0.08775107458571
31,4,1,478,5893,0.0811131851349058
31,4,2,156,5396,0.0289103039288362
31,5,1,1274,3017,0.422273781902552
31,5,2,672,2591,0.259359320725589
31,6,1,88,410,0.214634146341463
31,6,2,36,361,0.0997229916897507
31,7,1,2402,6729,0.356962401545549
31,7,2,1148,6223,0.184476940382452
32,1,1,19650,100375,0.195765877957659
32,1,2,7484,85741,0.0872861291564129
32,2,1,18642,31759,0.58698321735571
32,2,2,9862,26813,0.367806660948048
32,3,1,29918,153354,0.195091096417439
32,3,2,15000,135257,0.110899990388668
32,4,1,1592,16964,0.0938457910870078
32,4,2,720,14857,0.0484620044423504
32,5,1,1080,2924,0.369357045143639
32,5,2,562,2697,0.208379681127178
32,6,1,1136,4031,0.28181592656909
32,6,2,572,3592,0.15924276169265
32,7,1,4986,17305,0.288124819416354
32,7,2,2410,15145,0.159128425222846
33,1,1,18714,103885,0.180141502623093
33,1,2,6900,88759,0.0777385955227076
33,2,1,1204,2704,0.445266272189349
33,2,2,550,2361,0.232952138924185
33,3,1,2382,7635,0.311984282907662
33,3,2,1038,6327,0.164058795637743
33,4,1,336,3928,0.0855397148676171
33,4,2,128,3849,0.0332553910106521
33,5,1,152,431,0.352668213457077
33,5,2,60,350,0.171428571428571
33,6,1,28,145,0.193103448275862
33,6,2,8,158,0.0506329113924051
33,7,1,628,3015,0.208291873963516
33,7,2,318,2732,0.116398243045388
34,1,1,42184,415716,0.10147312107304
34,1,2,15168,355039,0.042722067153186
34,2,1,56932,139767,0.407335064786394
34,2,2,32212,121686,0.26471410022517
34,3,1,47762,243716,0.195974002527532
34,3,2,24800,213572,0.116120090648587
34,4,1,4446,80034,0.0555513906589699
34,4,2,1406,71630,0.0196286472148541
34,5,1,230,1388,0.165706051873199
34,5,2,124,1316,0.0942249240121581
34,6,1,212,2174,0.0975160993560258
34,6,2,112,1933,0.057941024314537
34,7,1,3338,16323,0.204496722416223
34,7,2,1628,14797,0.110022301817936
35,1,1,8690,49797,0.174508504528385
35,1,2,3384,43829,0.0772091537566451
35,2,1,1958,4380,0.44703196347032
35,2,2,886,3713,0.238621061136547
35,3,1,26322,151068,0.174239415362618
35,3,2,12132,134531,0.090179958522571
35,4,1,248,2714,0.0913780397936625
35,4,2,114,2522,0.0452022204599524
35,5,1,6026,26032,0.231484326982176
35,5,2,3178,23043,0.137916069956169
35,6,1,48,411,0.116788321167883
35,6,2,28,373,0.0750670241286863
35,7,1,934,3532,0.264439411098528
35,7,2,322,3174,0.101449275362319
36,1,1,113928,784841,0.145160612149467
36,1,2,42726,676280,0.0631779736203939
36,2,1,84930,321621,0.264068577611537
36,2,2,49324,274721,0.179542153675911
36,3,1,55246,534552,0.10335009503285
36,3,2,27698,456411,0.0606865303421697
36,4,1,6978,162027,0.0430668962580311
36,4,2,1946,141889,0.0137149461903319
36,5,1,2614,11729,0.222866399522551
36,5,2,1318,10446,0.126172697683324
36,6,1,196,5119,0.0382887282672397
36,6,2,98,4309,0.0227430958459039
36,7,1,8590,32820,0.261730652041438
36,7,2,3948,29902,0.13203130225403
37,1,1,112904,469566,0.240443302964865
37,1,2,40276,408540,0.0985852058549958
37,2,1,141038,248957,0.566515502677169
37,2,2,75060,217938,0.344409878038708
37,3,1,43416,192020,0.226101447765858
37,3,2,18280,167986,0.108818592025526
37,4,1,2860,30996,0.0922699703187508
37,4,2,950,28089,0.0338210687457724
37,5,1,6436,13488,0.477164887307236
37,5,2,3210,12158,0.264023688106596
37,6,1,424,1560,0.271794871794872
37,6,2,236,1597,0.147777082028804
37,7,1,17812,35699,0.498949550407574
37,7,2,8448,32405,0.260700509180682
38,1,1,4700,53126,0.0884689229379212
38,1,2,1524,46605,0.0327003540392662
38,2,1,798,3798,0.210110584518167
38,2,2,338,3222,0.104903786468032
38,3,1,464,3476,0.133486766398159
38,3,2,152,2885,0.052686308492201
38,4,1,72,1372,0.0524781341107872
38,4,2,0,1358,0
38,5,1,1888,7027,0.268677956453679
38,5,2,982,5972,0.16443402545211
38,6,1,48,254,0.188976377952756
38,6,2,12,258,0.0465116279069767
38,7,1,48,782,0.061381074168798
38,7,2,36,734,0.0490463215258856
39,1,1,137706,791254,0.174035139158854
39,1,2,51928,686304,0.0756632629272159
39,2,1,109866,183383,0.59910678743395
39,2,2,63478,160519,0.395454743675204
39,3,1,16264,65586,0.247979751776294
39,3,2,7436,57834,0.128574886744821
39,4,1,2146,25454,0.0843089494774888
39,4,2,722,24317,0.0296911625611712
39,5,1,592,1858,0.318622174381055
39,5,2,292,1801,0.162132148806219
39,6,1,212,1266,0.167456556082148
39,6,2,76,1497,0.0507682030728123
39,7,1,21152,51100,0.413933463796477
39,7,2,10486,45797,0.2289669629015
40,1,1,55182,219060,0.251903588058066
40,1,2,21246,191738,0.110807456007677
40,2,1,27258,39160,0.696067415730337
40,2,2,14550,34684,0.419501787567755
40,3,1,19372,86758,0.223287765969709
40,3,2,8532,77634,0.109900301414329
40,4,1,926,9588,0.0965790571547768
40,4,2,220,9092,0.0241970963484382
40,5,1,18430,65387,0.281860308624038
40,5,2,8138,57178,0.142327468606807
40,6,1,552,1861,0.296614723267061
40,6,2,246,1915,0.12845953002611
40,7,1,9664,35178,0.274717152765933
40,7,2,4202,31280,0.134335038363171
41,1,1,37246,226099,0.164733147868854
41,1,2,12894,196339,0.0656721283086906
41,2,1,3226,9474,0.340510871859827
41,2,2,1382,8081,0.17101843831209
41,3,1,16666,100928,0.165127615726062
41,3,2,6562,89098,0.0736492401625177
41,4,1,940,15236,0.0616959831976897
41,4,2,282,14127,0.0199617753238479
41,5,1,1972,5603,0.351954310190969
41,5,2,990,4869,0.203327171903882
41,6,1,852,2961,0.28774062816616
41,6,2,296,2849,0.103896103896104
41,7,1,4640,19953,0.232546484237959
41,7,2,1870,17945,0.104207300083589
42,1,1,104128,741016,0.140520582551524
42,1,2,38838,641188,0.0605719383394574
42,2,1,75168,164739,0.456285396900552
42,2,2,44324,144392,0.306969915230761
42,3,1,36650,132153,0.277330064395057
42,3,2,18588,114014,0.163032610030347
42,4,1,2596,40460,0.0641621354424123
42,4,2,926,38324,0.0241624047594197
42,5,1,656,2087,0.314326784858649
42,5,2,352,2019,0.174343734522041
42,6,1,120,1072,0.111940298507463
42,6,2,68,1048,0.0648854961832061
42,7,1,11686,39111,0.298790621564266
42,7,2,5632,32403,0.173811066876524
44,1,1,8128,53889,0.15082855499267
44,1,2,3406,46253,0.0736384666940523
44,2,1,2384,7997,0.298111791921971
44,2,2,1296,6969,0.185966422729229
44,3,1,5148,25906,0.198718443603798
44,3,2,2638,22057,0.119599220202203
44,4,1,294,3025,0.0971900826446281
44,4,2,106,2646,0.0400604686318972
44,5,1,372,722,0.515235457063712
44,5,2,170,622,0.273311897106109
44,6,1,8,192,0.0416666666666667
44,6,2,8,182,0.043956043956044
44,7,1,1068,3870,0.275968992248062
44,7,2,624,3364,0.185493460166468
45,1,1,80940,242542,0.333715397745545
45,1,2,34178,212382,0.160927008880225
45,2,1,122428,165069,0.741677722649316
45,2,2,69036,144221,0.478682022729006
45,3,1,13382,59616,0.224469940955448
45,3,2,5932,51934,0.114221897023145
45,4,1,1268,8878,0.142824960576706
45,4,2,408,8431,0.0483928359625193
45,5,1,1056,1875,0.5632
45,5,2,594,1757,0.338076266363119
